itemID,definition,gloss,category,item,type,choices,complexity_category,uni_lemma
item_418,heile machen,repair,action_words,heile_machen,word,produces,,
item_419,sauber machen,clean,action_words,sauber_machen,word,produces,,clean (action)
item_420,klettern,climb,action_words,klettern,word,produces,,climb
item_421,spazieren gehen,go for walk,action_words,spazieren_gehen,word,produces,,go for a walk
item_422,rutschen,slide,action_words,rutschen,word,produces,,
item_423,aufheben,pick up,action_words,aufheben,word,produces,,lift
item_424,haben,have,action_words,haben,word,produces,,have
item_425,weinen,cry,action_words,weinen,word,produces,,cry
item_426,wünschen,wish,action_words,wunschen,word,produces,,
item_427,ziehen,pull,action_words,ziehen,word,produces,,pull
item_428,drücken,push,action_words,drucken,word,produces,,push
item_429,Krach machen,make noise,action_words,Krach_machen,word,produces,,
item_430,aufräumen,tidy up,action_words,aufraumen,word,produces,,clean (action)
item_431,alle,gone,descriptive_words,alle,word,produces,,
item_432,arm,poor,descriptive_words,arm,word,produces,,
item_433,schlecht,bad,descriptive_words,schlecht,word,produces,,bad
item_434,froh,glad,descriptive_words,froh,word,produces,,
item_435,hart,hard,descriptive_words,hart,word,produces,,hard
item_436,blau,blue,descriptive_words,blau,word,produces,,blue
item_437,heiß,hot,descriptive_words,heiss,word,produces,,hot
item_438,langsam,slow,descriptive_words,langsam,word,produces,,slow
item_439,sauber,clean,descriptive_words,sauber,word,produces,,clean (description)
item_440,klein,littele,descriptive_words,klein,word,produces,,little (description)
item_441,dunkel,dark,descriptive_words,dunkel,word,produces,,dark
item_442,schmutzig,dirty,descriptive_words,schmutzig,word,produces,,dirty
item_443,nass,wet,descriptive_words,nass,word,produces,,wet (description)
item_444,schnell,quick,descriptive_words,schnell,word,produces,,fast
item_445,voll,full,descriptive_words,voll,word,produces,,full
item_446,wach,awake,descriptive_words,wach,word,produces,,
item_447,grün,green,descriptive_words,grun,word,produces,,green
item_448,gelb,yellow,descriptive_words,gelb,word,produces,,yellow
item_449,rot,red,descriptive_words,rot,word,produces,,red
item_450,schwarz,black,descriptive_words,schwarz,word,produces,,black
